Date,Close
4-Jan-16,"$12,927.15"
5-Jan-16,"$12,920.14"
6-Jan-16,"$12,726.80"
7-Jan-16,"$12,448.21"
8-Jan-16,"$12,445.45"
11-Jan-16,"$12,319.25"
12-Jan-16,"$12,373.90"
13-Jan-16,"$12,170.41"
14-Jan-16,"$12,336.03"
15-Jan-16,"$12,073.46"
18-Jan-16,"$11,942.17"
19-Jan-16,"$12,002.24"
20-Jan-16,"$11,843.11"
21-Jan-16,"$12,035.86"
22-Jan-16,"$12,389.58"
25-Jan-16,"$12,143.16"
26-Jan-16,"$12,331.32"
27-Jan-16,"$12,377.77"
28-Jan-16,"$12,591.93"
29-Jan-16,"$12,822.13"
1-Feb-16,"$12,674.37"
2-Feb-16,"$12,442.26"
3-Feb-16,"$12,593.02"
4-Feb-16,"$12,774.50"
5-Feb-16,"$12,763.99"
8-Feb-16,"$12,535.40"
9-Feb-16,"$12,282.65"
10-Feb-16,"$12,185.72"
11-Feb-16,"$12,087.37"
12-Feb-16,"$12,381.24"
16-Feb-16,"$12,554.98"
17-Feb-16,"$12,867.16"
18-Feb-16,"$12,931.36"
19-Feb-16,"$12,813.40"
22-Feb-16,"$12,845.63"
23-Feb-16,"$12,763.44"
24-Feb-16,"$12,740.27"
25-Feb-16,"$12,753.60"
26-Feb-16,"$12,797.79"
29-Feb-16,"$12,860.35"
1-Mar-16,"$12,982.10"
2-Mar-16,"$13,017.93"
3-Mar-16,"$13,123.65"
4-Mar-16,"$13,212.50"
7-Mar-16,"$13,383.60"
8-Mar-16,"$13,311.05"
9-Mar-16,"$13,392.90"
10-Mar-16,"$13,379.14"
11-Mar-16,"$13,522.00"
14-Mar-16,"$13,477.54"
15-Mar-16,"$13,400.31"
16-Mar-16,"$13,478.13"
17-Mar-16,"$13,621.30"
18-Mar-16,"$13,497.07"
21-Mar-16,"$13,561.09"
22-Mar-16,"$13,493.49"
23-Mar-16,"$13,379.48"
24-Mar-16,"$13,358.11"
28-Mar-16,"$13,390.19"
29-Mar-16,"$13,426.23"
30-Mar-16,"$13,503.98"
31-Mar-16,"$13,494.36"
1-Apr-16,"$13,440.44"
4-Apr-16,"$13,336.15"
5-Apr-16,"$13,304.66"
6-Apr-16,"$13,347.46"
7-Apr-16,"$13,266.44"
8-Apr-16,"$13,396.73"
11-Apr-16,"$13,422.76"
12-Apr-16,"$13,581.42"
13-Apr-16,"$13,671.35"
14-Apr-16,"$13,668.29"
15-Apr-16,"$13,637.20"
18-Apr-16,"$13,719.82"
19-Apr-16,"$13,867.28"
20-Apr-16,"$13,911.29"
21-Apr-16,"$13,881.20"
22-Apr-16,"$13,874.00"
25-Apr-16,"$13,795.99"
26-Apr-16,"$13,809.44"
27-Apr-16,"$13,887.66"
28-Apr-16,"$13,886.43"
29-Apr-16,"$13,951.45"
2-May-16,"$13,865.63"
3-May-16,"$13,707.68"
4-May-16,"$13,632.00"
5-May-16,"$13,632.01"
6-May-16,"$13,701.47"
9-May-16,"$13,563.84"
10-May-16,"$13,775.19"
11-May-16,"$13,788.21"
12-May-16,"$13,787.80"
13-May-16,"$13,748.58"
16-May-16,"$13,893.49"
17-May-16,"$13,917.10"
18-May-16,"$13,826.01"
19-May-16,"$13,817.32"
20-May-16,"$13,919.58"
24-May-16,"$13,952.85"
25-May-16,"$14,053.74"
26-May-16,"$14,049.20"
27-May-16,"$14,105.23"
30-May-16,"$14,086.67"
31-May-16,"$14,065.78"
1-Jun-16,"$14,063.54"
2-Jun-16,"$14,136.99"
3-Jun-16,"$14,226.78"
6-Jun-16,"$14,276.16"
7-Jun-16,"$14,365.61"
8-Jun-16,"$14,313.10"
9-Jun-16,"$14,240.02"
10-Jun-16,"$14,037.54"
13-Jun-16,"$13,993.88"
14-Jun-16,"$13,884.23"
15-Jun-16,"$13,923.45"
16-Jun-16,"$13,882.41"
17-Jun-16,"$13,901.77"
20-Jun-16,"$14,015.14"
21-Jun-16,"$14,012.32"
22-Jun-16,"$14,003.81"
23-Jun-16,"$14,131.38"
24-Jun-16,"$13,891.88"
27-Jun-16,"$13,689.79"
28-Jun-16,"$13,842.69"
29-Jun-16,"$14,036.74"
