Date,Open,High,Low,Close,Adj Close,Volume
18/12/2019,223.970001,225.600006,223.300003,224.309998,224.309998,2071200
19/12/2019,223.789993,224.75,222.270004,224.130005,224.130005,1808600
20/12/2019,224.690002,230.570007,224.389999,230.289993,230.289993,3295500
23/12/2019,230.800003,231.139999,227.070007,228.130005,228.130005,1453000
24/12/2019,228.470001,229.410004,227.110001,229.029999,229.029999,613600
26/12/2019,229.389999,233.419998,229.309998,231.169998,231.169998,1790500
27/12/2019,232.559998,232.789993,229.759995,230.020004,230.020004,1515700
30/12/2019,229.800003,231.75,227.529999,230.830002,230.830002,1204300
31/12/2019,231.139999,232,229.669998,231.669998,231.669998,943200
2/01/2020,232.899994,233.470001,231.770004,233.419998,233.419998,1449300
3/01/2020,231.240005,234.5,230.229996,232.639999,232.639999,1315400
6/01/2020,231.490005,235.529999,230.800003,235.429993,235.429993,1460700
7/01/2020,235.5,236.850006,233.339996,233.699997,233.699997,1367900
8/01/2020,234.880005,238.009995,234.009995,237.270004,237.270004,1883900
9/01/2020,239.220001,239.470001,235.289993,235.899994,235.899994,1141300
10/01/2020,236.210007,236.279999,233.259995,234.839996,234.839996,1178100
13/01/2020,238.570007,245.350006,238.110001,245.179993,245.179993,4118600
14/01/2020,246.279999,247.509995,243.449997,243.770004,243.770004,1644000
15/01/2020,245.149994,246.039993,243.389999,243.490005,243.490005,996800
16/01/2020,245,245.520004,241.789993,243.710007,243.710007,1409700
17/01/2020,245.509995,245.729996,241.149994,241.25,241.25,1335400
21/01/2020,241.429993,243.479996,240,242.520004,242.520004,1604700
22/01/2020,243.300003,246.020004,243.059998,244.300003,244.300003,1205800
23/01/2020,242.619995,244.279999,241.5,243.059998,243.059998,868700
24/01/2020,243.740005,245.059998,239.270004,240.350006,240.350006,938200
27/01/2020,233.800003,237.869995,231.839996,236.740005,236.740005,1292000
28/01/2020,238.660004,240.190002,236.330002,239.350006,239.350006,971400
29/01/2020,240.320007,244.330002,238.770004,243.660004,243.660004,998200
30/01/2020,241.839996,244,240.899994,243.770004,243.770004,770900
31/01/2020,243.479996,243.580002,239.300003,239.389999,239.389999,1391600
3/02/2020,240.179993,247.699997,240.179993,246.369995,246.369995,1792000
4/02/2020,249.850006,250.100006,247.660004,247.990005,247.990005,1354900
5/02/2020,249.149994,249.710007,243.559998,243.899994,243.899994,1518600
6/02/2020,244.350006,244.529999,242.789993,243.779999,243.779999,1155900
7/02/2020,243.770004,246.889999,242.169998,243.509995,243.509995,1087600
10/02/2020,244.020004,249.740005,244.020004,248.539993,248.539993,1192100
11/02/2020,249.339996,252.389999,248.339996,251.580002,251.580002,1014700
12/02/2020,252.110001,254.160004,250.779999,253.940002,253.940002,658100
13/02/2020,253.410004,256.799988,252.369995,253.860001,253.860001,905300
14/02/2020,254.679993,256,253.149994,254.410004,254.410004,950700
18/02/2020,254.009995,259.73999,253.660004,259.230011,259.230011,1273700
19/02/2020,261,263.5,259.809998,262.51001,262.51001,908000
20/02/2020,262.929993,266.200012,258.75,263.679993,263.679993,1518400
21/02/2020,263,265.100006,253.800003,255.899994,255.899994,1587700
24/02/2020,245.389999,247.869995,235.690002,246.210007,246.210007,1875000
25/02/2020,248.380005,250.449997,237.050003,238.809998,238.809998,1550900
26/02/2020,239.149994,244.130005,237.039993,238.559998,238.559998,1219000
27/02/2020,230.440002,232.479996,220.210007,220.699997,220.699997,2834900
28/02/2020,210,217.699997,208.899994,217.410004,217.410004,3748400
2/03/2020,219.190002,229.210007,216.490005,228.899994,228.899994,2333900
3/03/2020,228.869995,235.419998,225.960007,227.130005,227.130005,3570700
4/03/2020,231.509995,232.880005,221.240005,231.619995,231.619995,1723700
5/03/2020,225.399994,227.380005,216.149994,221.190002,221.190002,2005000
6/03/2020,213.259995,223.350006,212.240005,218.550003,218.550003,2494400
9/03/2020,202,208.330002,194.240005,199.770004,199.770004,2292500
10/03/2020,206.369995,206.990005,197.110001,204.119995,204.119995,2274000
11/03/2020,199.389999,201.490005,191.389999,193.740005,193.740005,2114700
12/03/2020,179.449997,180.330002,167.330002,169.130005,169.130005,3906800
13/03/2020,175.899994,176.789993,162.320007,176.75,176.75,2933300
16/03/2020,155.490005,155.889999,138.289993,138.979996,138.979996,4568200
17/03/2020,141.699997,156.800003,136.089996,144.880005,144.880005,3764700
18/03/2020,135.119995,140.639999,128.850006,140.360001,140.360001,3809600
19/03/2020,136.330002,162.779999,136.330002,154.860001,154.860001,2989600
20/03/2020,163.509995,182.529999,162.600006,165.009995,165.009995,5338000
23/03/2020,165.550003,180.360001,165.050003,172.300003,172.300003,4267500
24/03/2020,183.25,194.899994,180.100006,192.740005,192.740005,2912900
25/03/2020,195.5,202.860001,192.429993,193.619995,193.619995,3336400
26/03/2020,197.050003,202.839996,189.050003,200.800003,200.800003,4117800
27/03/2020,192.5,195.550003,184.059998,188.839996,188.839996,3572100
30/03/2020,188.5,196.960007,183.029999,193.940002,193.940002,2197800
31/03/2020,193.029999,194.199997,188.190002,189.550003,189.550003,2027200
1/04/2020,181.529999,187.279999,181.529999,183.5,183.5,1767800
2/04/2020,182,185.5,177.770004,185.490005,185.490005,2311300
3/04/2020,184.710007,184.770004,179.100006,181.25,181.25,2208300
6/04/2020,188.220001,195.699997,185.75,194.949997,194.949997,2479100
7/04/2020,202.479996,203.440002,194.699997,194.919998,194.919998,2228500
8/04/2020,196.800003,200.5,194.330002,196.009995,196.009995,1243300
9/04/2020,199.639999,206,198.479996,203.509995,203.509995,1898300
13/04/2020,202.759995,203.440002,197.660004,199.270004,199.270004,1008500
14/04/2020,203.720001,206.770004,201.580002,205.179993,205.179993,1842400
15/04/2020,200.199997,208.5,199.600006,207.949997,207.949997,1888900
16/04/2020,210,214.429993,207.679993,209.190002,209.190002,2177300
17/04/2020,215.25,226.419998,213.520004,225.860001,225.860001,3555200
20/04/2020,222.789993,224.509995,216.789993,218.589996,218.589996,2086100
21/04/2020,215,216.550003,206.5,206.720001,206.720001,2145200
22/04/2020,210.910004,214.220001,210.009995,212.089996,212.089996,1350500
23/04/2020,212.389999,216.720001,210.419998,211.639999,211.639999,1102600
24/04/2020,213.759995,216.5,212.100006,214.550003,214.550003,1520800
27/04/2020,217.600006,227.869995,216.380005,226.889999,226.889999,2227100
28/04/2020,231.300003,231.949997,224.190002,224.470001,224.470001,1340000
29/04/2020,229.839996,237.490005,227.509995,232.429993,232.429993,1393300
30/04/2020,229.720001,231.550003,223.479996,223.479996,223.479996,1588500
1/05/2020,219.110001,220.460007,216.199997,218.690002,218.690002,1744600
4/05/2020,215.080002,218.839996,213.970001,218.690002,218.690002,1059700
5/05/2020,221.720001,222,216.179993,218.210007,218.210007,1298900
6/05/2020,218.990005,225,218.970001,223.179993,223.179993,1229600
7/05/2020,224.529999,228.589996,220.570007,225.990005,225.990005,1700200
8/05/2020,229,238.320007,228.5,237.990005,237.990005,2037700
11/05/2020,237.570007,246.839996,234.529999,245.619995,245.619995,1951000
12/05/2020,247.070007,248.75,242.339996,242.600006,242.600006,1924600
13/05/2020,242.25,243.100006,225.889999,229.389999,229.389999,2240100
14/05/2020,226.559998,237.740005,225.809998,237.570007,237.570007,1453700
15/05/2020,234.889999,247.539993,234.009995,247.089996,247.089996,1750800
18/05/2020,253.729996,259.609985,252.029999,255.649994,255.649994,2319100
19/05/2020,256.890015,257.380005,251.029999,251.410004,251.410004,1480500
20/05/2020,256.100006,259.600006,255.179993,258.380005,258.380005,1095900
21/05/2020,259.369995,268.269989,257.570007,267.529999,267.529999,1808400
22/05/2020,268.700012,277.019989,267.019989,276.730011,276.730011,2073900
26/05/2020,282.549988,284.920013,279.309998,281.410004,281.410004,2118500
27/05/2020,281.380005,282.899994,271.600006,281.5,281.5,2158700
28/05/2020,281.470001,291.309998,277.519989,284.420013,284.420013,2307900
29/05/2020,285.910004,301.48999,284.149994,300.100006,300.100006,4877300
1/06/2020,299.769989,310.220001,297.25,308.690002,308.690002,2390200
2/06/2020,305.51001,314.869995,302.01001,312.299988,312.299988,2872000
3/06/2020,313.059998,324.700012,312.5,323.73999,323.73999,2760300
4/06/2020,321.5,323.519989,313.5,317.420013,317.420013,2752000
5/06/2020,319.160004,323.799988,317,319.779999,319.779999,2385300
8/06/2020,322.059998,322.630005,312.730011,315.299988,315.299988,2588500
9/06/2020,313.200012,318.899994,307.799988,316.399994,316.399994,2375200
10/06/2020,318.600006,324.76001,316.540009,323.25,323.25,1746800
11/06/2020,314.369995,321.100006,306.630005,308.119995,308.119995,3659600
12/06/2020,302.839996,308.380005,289.549988,296.359985,296.359985,7626400
15/06/2020,289.170013,303.25,288.609985,303.049988,303.049988,2256900
16/06/2020,310.790009,312.799988,303.269989,310.609985,310.609985,2106000
17/06/2020,313,313.829987,302.570007,303.690002,303.690002,1717900
18/06/2020,303.98999,305.660004,299,302.980011,302.980011,1573700
19/06/2020,306.980011,307.01001,295.290009,297.380005,297.380005,2299800
22/06/2020,298.01001,306.570007,293.850006,304.690002,304.690002,1580300
23/06/2020,308.01001,310.209991,300.730011,301.160004,301.160004,1392100
24/06/2020,299.480011,303.149994,290.519989,295.220001,295.220001,1595000
25/06/2020,294.299988,295.26001,288.5,295.130005,295.130005,1268000
26/06/2020,293.799988,295.100006,288.109985,289.529999,289.529999,1700800
29/06/2020,290.109985,295.670013,284.290009,294.350006,294.350006,1860900
30/06/2020,305,318.320007,304.200012,312.01001,312.01001,5473600
1/07/2020,314.5,316.98999,306.359985,308.619995,308.619995,1767500
2/07/2020,312.149994,312.589996,302.5,304.769989,304.769989,1885100
6/07/2020,309,316.119995,308.600006,314.350006,314.350006,2557900
7/07/2020,313.119995,313.130005,306.309998,306.73999,306.73999,1337000
8/07/2020,310.880005,311.25,306.579987,309.880005,309.880005,1269300
9/07/2020,309.799988,319.109985,303.679993,315.079987,315.079987,3287300
10/07/2020,316.640015,317.970001,308.119995,314.390015,314.390015,1755600
13/07/2020,316.75,321.820007,304.540009,305.149994,305.149994,2212300
14/07/2020,303.529999,309.450012,295.01001,308.320007,308.320007,2051200
15/07/2020,308.589996,314,304.140015,312.51001,312.51001,1653600
16/07/2020,308.5,315.209991,306.779999,313.079987,313.079987,1185300
17/07/2020,315.019989,319.040009,310.859985,316.820007,316.820007,1674000
20/07/2020,319.140015,329.850006,317,326.839996,326.839996,1996500
21/07/2020,330.359985,330.899994,324.070007,325.390015,325.390015,1471600
22/07/2020,325.890015,329.480011,322.529999,326.720001,326.720001,901500
23/07/2020,327.160004,337.570007,316,320.01001,320.01001,2592500
24/07/2020,316.26001,325.709991,313.619995,321.5,321.5,1441900
27/07/2020,324.279999,333.179993,323.040009,331.549988,331.549988,2029300
28/07/2020,331.220001,333.880005,321.910004,322.640015,322.640015,1534100
29/07/2020,322.200012,329.5,321.5,325.73999,325.73999,1318800
30/07/2020,322.299988,325.380005,316.98999,323.660004,323.660004,1225400
31/07/2020,326.170013,326.279999,319.600006,325.589996,325.589996,1282500
3/08/2020,327.98999,331.170013,324.01001,328.589996,328.589996,1362500
4/08/2020,327.929993,330.390015,324.320007,328.209991,328.209991,1046700
5/08/2020,330.940002,343.589996,328.269989,340.420013,340.420013,2188800
6/08/2020,342.320007,343.089996,334.119995,339.179993,339.179993,1153200
7/08/2020,339.079987,343.73999,336.51001,342.119995,342.119995,1580200
10/08/2020,342.470001,347.350006,337.390015,344.320007,344.320007,1611900
11/08/2020,344.320007,344.779999,334.869995,335.369995,335.369995,1518800
12/08/2020,338,346.429993,337.790009,345.329987,345.329987,1294400
13/08/2020,349.98999,354.589996,346.269989,350.290009,350.290009,1439600
14/08/2020,350.149994,351.690002,345.029999,349.119995,349.119995,877300
17/08/2020,350.48999,355.820007,350,354.869995,354.869995,729600
18/08/2020,358.070007,360.769989,352.450012,358.779999,358.779999,1013000
19/08/2020,360.579987,364.890015,356.170013,360.839996,360.839996,920600
20/08/2020,358.179993,367.940002,356.299988,366.420013,366.420013,1078300
21/08/2020,367.450012,369.769989,364.549988,368.75,368.75,847400
24/08/2020,372.200012,377.839996,369.399994,376.309998,376.309998,1565400
25/08/2020,376.51001,380.589996,372.209991,378.5,378.5,1064100
26/08/2020,381.410004,383.200012,376.670013,381.5,381.5,1021800
27/08/2020,384,384.049988,373.890015,374.839996,374.839996,1693900
28/08/2020,377,380.920013,376.130005,377.480011,377.480011,1257100
31/08/2020,377.5,379.309998,372.5,375.670013,375.670013,1672000
1/09/2020,376.600006,391.380005,373.559998,391.160004,391.160004,1364400
2/09/2020,398.109985,399.899994,387.079987,398.290009,398.290009,1631300
3/09/2020,393.390015,396.829987,376.369995,377.869995,377.869995,2412900
